ticket_id,source_category,subject,raw_customer_text,char_len,type,priority,theme
1,Billing and Payments,Issue Detected with Investment Analytics Services Billing,"A billing error was encountered with the investment analytics services, which might be related to system integration problems. Upon review of the transaction logs, a discrepancy was confirmed.",192,Incident,high,investment/finance
2,Billing and Payments,Inquiry on Payment Options for Annual Subscription,"Hello customer support team, I am interested in subscribing to your service and would like to know more about the different payment options available. Could you please inform me if you accept credit cards, PayPal, or bank transfers? Additionally, I would appreciate information on any discounts or promotions for annual subscriptions, as well as details on any additional fees related to specific payment methods. I look forward to your response and any further information you can provide. Thank you for your assistance, and I am excited about the prospect of becoming a subscriber to your service.",599,Request,low,other
3,Customer Service,,"Customer Support, I am submitting a request for enhancements in security measures related to medical data management at our hospital. Ensuring compliance and data integrity are crucial in the healthcare industry. I propose the implementation of advanced encryption methods, regular security audits, and staff training in data protection practices. Additionally, it would be beneficial to establish an incident response plan and conduct regular penetration testing to identify vulnerabilities. I believe these measures will significantly enhance our security protocols.",568,Change,medium,medical/healthcare
4,Customer Service,Addressing Drop in Brand Engagement Online,"Noticing a decrease in brand engagement and visibility through digital marketing efforts. This may be due to recent algorithm changes rendering campaigns less effective. So far, attempts to adjust ad spend and optimize content have shown some improvement. I am requesting your help to identify the root cause of the issue and offer suggestions for improvement. Could you please assist in analyzing our current strategies and suggesting changes to boost our online presence?",473,Problem,medium,marketing campaign
5,General Inquiry,Support for Webcam,I would like to inquire about the possibility of incorporating webcam and hardware device compatibility into the project management software as a service (SaaS) platform to boost collaboration functionalities and user satisfaction.,231,Change,low,project mgmt software
6,General Inquiry,Support Inquiry for Data Discrepancies,"Currently facing data inconsistency problems across our marketing analytics tools. This might be due to recent software updates or integration flaws. We have already attempted system restarts and reconfigured data links, but the issue remains unresolved. Our team is actively working on resolving the problem and needs further assistance to ensure data accuracy and prevent future discrepancies. Could you please offer guidance on how to troubleshoot and resolve this issue as soon as possible?",494,Incident,low,data analytics tool
7,Human Resources,Support for Integrating Asana with Redis 6.2,"I am contacting you to inquire about integrating Asana with Redis 6.2 to enhance our investment data analytics. Could you direct me to any resources or documentation that detail the best practices for this integration? I would greatly appreciate any information that could assist me in initiating this project. Specifically, I am seeking advice on how to configure Asana and Redis to operate effectively together.",413,Request,high,investment/finance
8,Human Resources,Support for Integration Issues,"We are encountering integration problems with ActiveCampaign, Discord, and project management SaaS. This may be related to recent API updates. We have already verified API keys and adjusted settings, but the issue persists. We need assistance to resolve this problem.",267,Problem,medium,other
9,IT Support,Support Inquiry for Enhancing Digital Marketing with GitHub,"Hello Customer Support, I am reaching out to inquire about how to optimize our digital marketing strategies using GitHub. Could you provide detailed information on how effectively utilizing GitHub can enhance our online presence and reach a wider audience? I am very interested in learning about the tools and features that GitHub offers to support our digital marketing efforts. Specifically, I would like to know how we can leverage GitHub to improve our website's visibility, drive more traffic, and increase engagement with our target audience. I appreciate your time and assistance. Looking forward to your response.",621,Request,high,marketing campaign
10,IT Support,Concern Regarding System Security,"There have been unauthorized access attempts on medical data within the hospital's systems. This might have occurred due to weak password policies and phishing attempts. We have already updated the passwords, enabled multi-factor authentication, and conducted staff training on cybersecurity awareness to prevent future incidents.",330,Problem,high,medical/healthcare
11,Product Support,Problem with the Data Analytics Dashboard Loading,"The Data Analytics dashboard has encountered a failure to load, which may be due to server overload or an connectivity issue.",125,Incident,low,data analytics tool
12,Product Support,Request for Update,Asking for an update on the integration capabilities and enhanced compatibility for DataRobot Redis 6.2 within the project management software to improve performance.,166,Change,medium,project mgmt software
13,Returns and Exchanges,Query on Analytics Tools for SAP ERP Integration,I am contacting you to seek information on analytics tools that can be integrated with SAP ERP to optimize investments. Could you please furnish me with a list of compatible tools along with their featured capabilities? I would greatly appreciate any insights on how these tools can assist in investment optimization.,317,Request,medium,investment/finance
14,Returns and Exchanges,Request for Refund and Replacement,"I am contacting you to seek a refund and a replacement for the faulty devices and software licenses I received. The devices are not working as expected, and the software licenses are not compatible with my system. I would appreciate a refund for the damaged items and a quick replacement with suitable alternatives. Please find attached my purchase receipt for your records. Kindly inform me of the necessary steps to address this matter promptly.",447,Change,high,other
15,Sales and Pre-Sales,,"A data breach has been detected in the hospital's system, potentially compromising the security of patient medical data. Despite the implementation of additional security measures and software updates, the issue continues to persist. Immediate assistance is required to resolve this matter.",290,Problem,low,medical/healthcare
16,Sales and Pre-Sales,Support for Enhancing Digital Campaign Engagement,"Facing challenges with digital campaign engagement, despite recent efforts to adjust budgets and review analytics. The team feels that the current strategies might be outdated and need to align with current market trends. We would greatly appreciate your guidance on how to refresh our approach to improve engagement. Specifically, we would like recommendations and resources to help us better understand our audience and create more effective campaigns. We look forward to your assistance in resolving this issue. Thank you for your time and support.",551,Incident,low,marketing campaign
17,Service Outages and Maintenance,Urgent Request for Bug Fix on Integration with Cassandra 4.0 and Monday.com,"I am reaching out to request an urgent fix for the integration with Cassandra 4.0 and Monday.com in our project management software. The integration is currently causing problems, and we need a solution as soon as possible. Could you please review this issue and provide an estimated timeline for the fix? We highly appreciate your swift response to this matter.",362,Change,high,project mgmt software
18,Service Outages and Maintenance,Concern About Technical Glitches in Data Analytics Platform,"The data analytics platform is encountering occasional failures, which might be caused by server overload during peak processing times. After restarting the servers and clearing the caches, the problem still persists. These outages are significantly disrupting our operations and require urgent help to address the issue.",321,Incident,medium,data analytics tool
19,Technical Support,Enhancing Digital Strategies for Products,"Looking to optimize digital strategies for Razer Huntsman Elite and Microsoft Surface Pro 8. Could you provide insights on how to effectively reach the target audience and increase sales? Appreciate any advice on social media marketing, email marketing, and other digital channels that can help promote these products. Additionally, would be grateful for information on successful campaigns that have been implemented in the past. Thank you for your assistance.",461,Request,high,marketing campaign
20,Technical Support,Facing Software Crashes and Connectivity Issues,"Our agency is encountering software crashes and connectivity issues. Recent updates might be causing compatibility conflicts. We have restarted devices and reinstalled the software, but the issues persist.",205,Problem,medium,other
